id	PD_meta_logFC	PD_meta_p	PD_I2	PD_meta_FDR
ADAMTS15	0.12482704896479	0.000698985025601517	0	0.00122178436929688
ADAMTS17	-0.363777089068476	2.63464758150919e-24	0	2.8941010004678e-23
ADAMTS18	0.0871252157679362	0.0533814921663291	0	0.0651361097418535
ADAMTS19	-0.0205305174470298	0.312572507745293	0	0.328279394561655
ADAMTS2	0.518115336826707	4.99549382240244e-26	0	6.20549050101053e-25
ADAMTS20	0.247611261641607	4.64893231607132e-10	0	1.6393507758549e-09
ADAMTS3	0.353125637859554	3.79789127231925e-09	4.53185831926261	1.22959144753955e-08
ADAMTS5	0.343449619017048	3.16528951470283e-09	0	1.03315828767092e-08
ADAMTS6	0.345000069352261	4.08867606853877e-13	30.4239872076708	1.91055570591279e-12
ADAMTS8	-0.0551817489293737	0.0436851053386908	0	0.0542813616005763
ADAMTS9	0.647116536023729	3.84983131205097e-40	0	1.33281012236974e-38
ADAMTSL1	0.117528191351937	5.58188900392015e-05	0	0.000113750459794043
ADAMTSL2	0.0691208349536526	0.0588997756878905	0	0.071190461306874
ADAMTSL3	0.00255492351958618	0.914419949740783	63.0458772996988	0.923120424999972
ADAMTSL4	0.316931746335171	5.63309812577069e-07	0	1.4529413827331e-06
ADAMTSL5	0.046621794905282	0.13780903683346	0	0.153825211793126
ADAP1	0.180191458210697	1.17821741379507e-05	0	2.62137751235002e-05
ADAP2	-0.242142303093446	1.49313684670335e-12	0	6.62526674144853e-12
ADAR	0.176895689849221	6.0883687095832e-08	0	1.74671395601642e-07
ADARB1	-0.051406926970771	0.12162367860073	0	0.137030813350076
ADARB2	-0.040845608360986	0.0549911180667814	35.2755298975424	0.0668920148752722
ADARB2-AS1	-0.0893203967488957	0.0410649264467217	0	0.0513084011027653
ADAT1	-0.223000767143255	6.76020502403959e-09	0	2.13245571910812e-08
ADAT2	-0.35434208863909	9.07146334601386e-16	0	5.31194648600384e-15
ADCK1	0.0828338635922324	0.00171787857236443	0	0.00281021003171932
ADCK2	-0.223993234476777	4.48199509045502e-17	0	2.92904874806294e-16
ADCK4	0.208455257513369	7.1814583598161e-14	58.3236663581366	3.5871493889782e-13
ADCK5	0.0682083041909795	0.0786227857156102	0	0.0924036740700112
ADCY10	0.0206158250076349	0.211737771142322	0	0.227919222217261
ADCY10P1	0.165123528113797	0.000117031704161124	0	0.000228254849476015
ADCY2	-0.0675867507372157	0.037784728188818	0	0.0476456335529719
ADCY3	0.261974810628151	1.30240911220825e-10	0	4.83663849225865e-10
ADCY4	0.477908459980761	6.70553062423071e-52	0	5.95801260439651e-50
ADCY5	0.0479251529173053	0.0157009057272764	0	0.0214348498791163
ADCY6	0.121952831192044	0.00060012655034601	0	0.00105800826787127
ADCY7	-0.104822350519507	0.0150534564876711	0	0.0206368621014002
ADCY8	0.0535456616085244	0.127873971138471	0	0.143517069094929
ADCY9	-0.263443629513084	3.75956132237363e-13	14.4260023471432	1.76316192333992e-12
ADCYAP1	0.219661592986819	0.00620120144309487	0	0.0091748888876304
ADCYAP1R1	0.0425616352450027	0.114142945428349	0	0.12947706027976
ADD1	0.110772196044424	0.000546848996736898	0	0.000968720816553077
ADD2	0.132634119240077	7.2984557447062e-06	51.5437029718963	1.66277941476905e-05
ADD3	0.12404406057859	0.00236562348318756	19.9857929497214	0.00377506438924614
ADD3-AS1	0.041971608290407	0.030453771165079	0	0.0392353336074664
ADH1C	-0.0467809739803423	0.0229958292126753	0	0.0303575914154303
ADH4	-0.182605588854741	6.07918819280482e-13	0	2.80435594459387e-12
ADH5	0.0950478704737526	3.79198158082683e-05	0	7.90887740210147e-05
ADH7	-0.852197728116392	2.65600408846252e-21	0	2.3506548451226e-20
ADHFE1	0.126700968665855	0.000161385972854326	0	0.000308621585281327
ADI1	-0.109358765701898	0.0844282060278248	0	0.0986034416034626
ADIG	-0.138176934739468	0.000269014806408306	60.1771779460705	0.000498532832958657
ADIPOR1	0.164751647055687	0.000398616658821536	0	0.000720425718954313
ADIPOR2	-0.358704016948589	2.18726357851145e-31	0	3.93336721491636e-30
ADIRF	0.0566171961173103	0.316561720438978	0	0.332236922585701
ADK	-0.0305579351281739	0.649188423954812	63.6033873985142	0.667964153044663
ADM	0.0979289505999796	0.0240621625778416	0	0.0316356313445972
